"Name","PriceRange","Address"
"Pirate's Cove","0","3501 S Atlantic Ave, Daytona Beach, FL 32118 "
"Mexico City Marriott Reforma Hotel","$142 - $287*"," Paseo de la Reforma 276 | Col Juarez, Mexico City 06600 , Mexico  "
"Residence Inn Chicago Midway","$177 - $244*"," 6638 South Cicero Avenue, Bedford Park, Chicago, IL 60638  "
"JW Marriott Hotel Los Angeles at L.A. LIVE","$219 - $508*","900 West Olympic Boulevard, Los Angeles, CA 90015 "
"Belltown Inn","$97 - $181*"," 2301 3rd Avenue, Seattle, WA  "
"BEST WESTERN I Triangoli","$88 - $192*","Via Ermanno Wolf ferrari 285, 00124 Rome, Italy "
"The Point Orlando Resort","$88 - $173*"," 7389 Universal Blvd, Orlando, FL 32819  "
"Paia Inn Hotel","$269 - $305*"," 93 Hana Highway, Paia, Maui, HI 96779  "
"Hotel Zero 1","$134 - $260*","1 Rene-Levesque Est, Montreal, Quebec H2X 3Z5, Canada "
"Anatolia Suites","$105 - $194*","Sultanahmet Mahallesi, Ogul Sokak No:8, Istanbul 34110, Turkey "
"The Royalton Hotel","$117 and up*","1101 North Atlantic Ave., 11th Street & Boardwalk, Ocean City, MD 21842 "
"Hotel Medium City","$98 - $185*","Nicaragua 47, 08029 Barcelona, Spain "
"Hotel Pension Enzian","0","Hortensienstr. 28, Berlin, Germany "
"Mission Bay RV Resort","0"," 2727 De Anza Rd, San Diego, CA  "
"Hotel B1","$35 - $49*","Am Niederfeld 7, 12621 Berlin, Germany "
"L'Hermitage Hotel","$215 - $406*","788 Richards Street, Vancouver, British Columbia V6B 3A4, Canada "
"Imperium Suite Navona","$153 - $266*","Vicolo Della Palomba 19, 00186 Rome, Italy "
"Golden Park Hotel","$148 - $249*","Lamartin Cad. No:22-24 | Taksim, Istanbul 34437, Turkey "
"Cabrillo Inn & Suites Airport","$54 - $208*"," 1150 Rosecrans Street, San Diego, CA CA 92106  "
"Legacy Hotel Apartments","$95 - $176*"," Next to Internetcity Metro Station, Behind EPPCO Petrol Station | Tecom, Al Barsha, Shaikh Zayed Road, Dubai, United Arab Emirates  "
"Radisson Blu Residence, Dubai Marina","$152 - $408*"," 392-260 Street K | Dubai Marina, Dubai, United Arab Emirates (Formerly Radisson SAS) "
"Happy Hotel","$48 - $58*","9 Lorong 10 Geylang | Central, Singapore 399042, Singapore "
"Viking Hotel","$81 - $1,585*"," 162 Romford Road, London E15 4LD, England  "
"Eterno Hotel","$108 - $221*","Topcu Cad No:19, Istanbul 34437, Turkey "
"Titanic City Hotel","$156 - $369*","Lamartin Cad No 47 | Taksim, Istanbul 34437, Turkey "
"Tides Motel","0","7100 Coastal Hwy, Ocean City, MD 21842 "
"The Joule, Dallas","$257 - $361*","1530 Main Street, Dallas, TX 75201 "
"Holiday Inn Express Cd. de Mexico Santa Fe","$87 - $138*"," Guillermo Gonzalez Camarena 1400 | Col. Centro de Ciudad Santa Fe, Mexico City 01210, Mexico  "
"Henderson's Wharf Inn","$288 - $334*","1000 Fell St, Baltimore, MD 21231 "
"Boston Marriott Copley Place","$286 - $917*"," 110 Huntington Ave, Boston, MA 02116  "
"Boston Marriott Long Wharf","$338 - $630*"," 296 State Street, Boston, MA 02109  "
"The Boston Park Plaza Hotel & Towers","$187 - $514*"," 50 Park Plaza at Arlington Street, Boston, MA 02116  "
"Copley Square Hotel","$283 - $544*"," 47 Huntington Avenue, Boston, MA 02116  "
"DoubleTree Suites by Hilton - Boston","$134 - $388*"," 400 Soldiers Field Rd, Allston, Boston, MA 02134-1893  "
"Eliot Hotel","$261 - $545*"," 370 Commonwealth Ave., Boston, MA 02215  "
"Hilton Boston Back Bay","$238 - $606*"," 40 Dalton Street, Boston, MA 02115-3123  "
"Hyatt Regency Boston","$252 - $540*"," 1 Avenue de Lafayette, Boston, MA 02111  "
"Meddusa Hotel","$70 - $175*","Nuruosmaniye Cad. No/7 Sultanahmet | Cagaloglu, Istanbul 34400, Turkey "
"The Fairmont Copley Plaza Boston","$296 - $495*"," 138 St James Ave, Boston, MA 02116  "
"Catalonia Port","$198 - $310*","Carrer Ample, 1 | Pl Duc de Medinaceli, 08002 Barcelona, Spain "
"Candlewood Suites Indianapolis","$83 - $104*"," 8111 Bash Street, Indianapolis, IN 46250  "
"Hampton Inn & Suites Chicago - Downtown","$119 - $232*"," 33 West Illinois St, Chicago, IL 60654  "
"Hilton Garden Inn Chicago Downtown Magnificent Mile","$110 - $293*"," 10 E Grand Avenue, Chicago, IL 60611  "
"Hotel Burnham - a Kimpton Hotel","$218 - $484*"," 1 W Washington St, Chicago, IL 60602  "
"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*"," 225 N Wabash, Chicago, IL 60601  "
"Omni Chicago Hotel","$186 - $404*"," 676 North Michigan Ave, Chicago, IL 60611  "
"The Palmer House Hilton","$183 - $383*"," 17 East Monroe Street, Box 75845, Chicago, IL 60603  "
"The Ritz-Carlton Chicago (A Four Seasons Hotel)","$274 - $646*"," 160 E Pearson St at Water Tower Place, Chicago, IL 60611-2124  "
"The Sutton Place Hotel","$171 - $686*"," 21 E Bellevue Place, Chicago, IL 60611  "
"Residence Hoteliere Le 300","$133 - $181*"," 11, rue Moreau, 75012 Paris, France  "
"Sheraton Dallas Hotel","$135 - $240*","400 North Olive Street, Dallas, TX 75201 "
"Cooper Guest Lodge Hotel, Conference Center & Spa","$129 - $204*","12230 Preston Road, Dallas, TX 75230 "
"Hilton Daytona Beach / Ocean Walk Village","$88 and up*","100 N Atlantic Ave, Daytona Beach, FL 32118 "
"Plaza Ocean Club Hotel","$64 and up*","640 North Atlantic Avenue, Daytona Beach, FL 32118 "
"Tropical Manor","$75 and up*","2237 S. Atlantic Ave., At Bonner Ave., Daytona Beach, FL "
"Hotel Bon Accueil","$61 - $128*","1601 rue St-Hubert, Montreal, Quebec H2L 3Z1, Canada "
"Embassy Suites Indianapolis North","$133 - $208*"," 3912 Vincennes Rd, Indianapolis, IN 46268  "
"Hampton Inn Indianapolis Downtown","$128 - $218*"," 105 S Meridian St, Indianapolis, IN 46225  "
"Hampton Inn Suites Las Vegas Airport","$92 - $1,132*"," 6575 South Eastern Avenue, Las Vegas, NV 89119  "
"El Cortez Hotel & Casino","$18 - $100*"," 600 Fremont St, Las Vegas, NV 89101  "
"BackStage Hotel Amsterdam","$125 - $313*","Leidsegracht 114, Amsterdam 1016 CT, The Netherlands "
"Fremont Hotel and Casino","$33 - $96*"," 200 East Fremont Street, Between Casino Center Boulevard and 3rd Street, Las Vegas, NV 89101  "
"Las Vegas Marriott","$144 - $213*"," 325 Convention Center Drive, Las Vegas, NV 89109  "
"Residence Inn Las Vegas Convention Center","$123 - $212*"," 3225 Paradise Rd, Las Vegas, NV 89109  "
"Super 8 Las Vegas","$40 - $87*"," 4250 Koval Lane, Las Vegas, NV 89109  "
"Hotel Bel-Air","$473 - $682*","701 Stone Canyon Rd., Los Angeles, CA 90077 "
"Flann O'Brien Rooms","$95 - $253*","Via Nazionale, 17, 00184 Rome, Italy "
"BEST WESTERN Pioneer Inn","$181 - $181*"," 658 Wharf Street, Lahaina, Maui, HI 96761  "
"Grand Wailea - A Waldorf Astoria Resort","$419 - $759*"," 3850 Wailea Alanui Dr, Wailea, Maui, HI 96753 (Formerly Grand Wailea Resort Hotel & Spa) "
"Maui Coast Hotel","$186 - $292*"," 2259 South Kihei Road, 1 block from Kamaole Beach Park I, Kihei, Maui, HI 96753  "
"Makena Beach & Golf Resort","$221 - $373*"," 5400 Makena Alanui, Makena, Maui, HI 96753 (Formerly Maui Prince Hotel) "
"Napili Kai Beach Resort","$264 - $414*"," 5900 Lower Honoapiilani Rd, Lahaina, Maui, HI 96761  "
"Ritz-Carlton, Kapalua","$389 - $840*"," 1 Ritz-Carlton Drive, Kapalua, Maui, HI 96761  "
"The Whaler on Kaanapali Beach","$197 - $527*"," 2481 Kaanapali Pkwy, Lahaina, Maui, HI 96761  "
"Westin Maui Resort And Spa","$303 - $430*"," 2365 Ka'anapali Parkway, Lahaina, Maui, HI 96761  "
"Homestead Studio Suites Memphis/Poplar","$69 - $79*"," 6500 Poplar Ave., Memphis, TN 38119  "
"Regency Inn and Suites","$72 - $90*"," 2411 Winchester Road, Memphis, TN 38116  "
"Auberge du Soleil","$750 - $2,900*","180 Rutherford Hill Rd., Rutherford, CA 94573 "
"Calistoga Spa Hot Springs","$160 - $190*","1006 Washington St., Calistoga, CA 94515 "
"El Bonita Motel","$75 - $125*","195 Main St., St. Helena, CA 94574 "
"Harvest Inn","$319 - $609*","1 Main Street, St. Helena, CA 94574 "
"Napa Valley Lodge","$291 - $487*","2230 Madison St, Yountville, CA 94599 "
"Southbridge Napa Valley","$295 - $549*","1020 Main St., St. Helena, CA 94574 (Formerly Inn at Southbridge)"
"The Continental Hotel","$92 - $177*"," 36-42 Norfolk Square, London W2 1RT, England  "
"Dauphine Orleans Hotel","$113 - $264*","415 Dauphine St., New Orleans, LA 70112 "
"The Roosevelt New Orleans, A Waldorf Astoria Hotel","$212 and up*","123 Baronne Street, New Orleans, LA 70112 "
"InterContinental New Orleans","$138 and up*","444 St. Charles Ave., New Orleans, LA 70130 "
"Hotel ai due Principi","$199 - $554*","Castello 4971 | Fondamenta dell'Osmarin, 30122 Venice, Italy "
"Hotel Villa Convento","$89 and up*","616 Ursulines Street, New Orleans, LA 70116 "
"JW Marriott Hotel New Orleans","$191 - $457*","614 Canal St, New Orleans, LA 70130 (Formerly Le Meridien Hotel)"
"Place d'Armes Hotel","$123 - $314*","625 St Ann Street, New Orleans, LA 70116 "
"Soniat House","$227 and up*","1133 Chartres St., New Orleans, LA 70116 "
"BEST WESTERN PLUS St. Charles Inn","$151 and up*","3636 St. Charles Ave., New Orleans, LA 70115-4690 "
"The Frenchmen Hotel","$79 and up*","417 Frenchmen Street, New Orleans, LA 70116 "
"Chelsea Savoy Hotel","$195 - $302*"," 204 West 23rd Street, New York City, NY 10011  "
"Broadway at Times Square Hotel","$119 - $353*"," 129 West 46th Street, New York City, NY 10036 (Formerly Comfort Inn Times Square) "
"Helmsley Middletowne Hotel","$145 - $265*"," 148 E. 48th St., New York City, NY 10017  "
"Hotel Newton","$151 - $324*"," 2528 Broadway, New York City, NY 10025  "
"Larchmont Hotel","$90 - $249*"," 27 West 11th Street, New York City, NY 10011  "
"The Time","$204 - $447*"," 224 West 49th Street, New York City, NY 10019  "
"W New York","$261 - $593*"," 541 Lexington Avenue, At 49th Street, New York City, NY 10022  "
"Zain International Hotel","$67 - $436*"," Al Rigga Rd | P.O.Box 32685, Dubai, United Arab Emirates  "
"Magic Castle Inn and Suites","$36 - $42*","5055 W. Irlo Bronson Memorial Highway, U.S. 192, Kissimmee, FL 34746 "
"The Peabody Orlando","$169 - $413*"," 9801 International Drive, Orlando, FL 32803  "
"Staybridge Suites Lake Buena Vista","$124 - $202*"," 8751 Suiteside Drive, Orlando, FL 32836  "
"Embassy Suites Hotel Phoenix Biltmore","$108 - $248*","2630 East Camelback, Phoenix, AZ 85016 "
"Hotel San Carlos","$157 - $178*","202 North Central Ave., Phoenix, AZ 85004 "
"Extended Stay Deluxe Phoenix/Biltmore","$73 - $81*","5235 N. 16th St., Phoenix, AZ 85016 "
"Arizona Grand Resort","$132 - $269*","8000 S. Arizona Grand Parkway, Phoenix, AZ 85044 "
"The Ritz-Carlton Phoenix","$226 - $520*","2401 E Camelback Rd, Phoenix, AZ 85016 "
"Courtyard by Marriott Miami at Dolphin Mall","$192 - $225*"," 11275 Northwest 12th Street, Miami, FL 33172  "
"Balboa Park Inn","$99 - $219*"," 3402 Park Blvd., San Diego, CA 92103  "
"Crystal Pier Hotel & Cottages","$225 - $400*"," 4500 Ocean Blvd., San Diego, CA 92109  "
"Gaslamp Plaza Suites","$122 - $261*"," 520 E St., San Diego, CA 92101  "
"Pacific Terrace Hotel","$281 - $436*"," 610 Diamond Street, San Diego, CA 92109  "
"Sommerset Suites Hotel","$137 - $239*"," 606 Washington St., San Diego, CA 92103  "
"Surfer Beach Hotel","$132 - $282*"," 711 Pacific Beach Drive, San Diego, CA 92109  "
"The Beach Cottages","$90 - $360*"," 4255 Ocean Boulevard, 1 block south of Grand Ave., San Diego, CA 92109  "
"Cow Hollow Motor Inn and Suites","$86 - $135*"," 2190 Lombard Street, Between Steiner and Fillmore Streets, San Francisco, CA 94123  "
"Hotel Diva","$170 - $362*"," 440 Geary Street, San Francisco, CA 94102  "
"Hotel Rex, a Joie de Vivre hotel","$173 - $457*"," 562 Sutter St, San Francisco, CA 94102  "
"Encore At Wynn Las Vegas","$169 - $1,305*"," 3121 Las Vegas Blvd. South, Las Vegas, NV 89109  "
"The Kensington Park Hotel","$167 - $342*"," 450 Post Street, San Francisco, CA 94102  "
"White Swan Inn, a Joie de Vivre Hotel","$209 - $351*"," 845 Bush Street, San Francisco, CA 94108  "
"Alexis Hotel - a Kimpton Hotel","$200 - $389*"," 1007 First Ave., Seattle, WA 98104  "
"The Paramount Hotel","$172 - $232*"," 724 Pine St., Seattle, WA 98101  "
"Eighth Avenue Inn","$76 - $106*"," 2213 8th Avenue, Seattle, WA 98121  "
"Red Lion Hotel Seattle Airport","$109 - $156*"," 18220 International Blvd., Seattle, WA 98188  "
"Apartamentos Apodaca","$90 and up*","Calle Apodaca, 28004 Madrid, Spain "
"Hale Ho'omana","$90 - $125*"," 1550 Piiholo Rd, Makawao, Maui, HI 96768  "
"Ikbal Deluxe Hotel Istanbul","$79 - $171*","Koska Cad No 43 Laleli, Istanbul 34470, Turkey "
"Thompson LES - A Thompson Hotel","$341 - $574*"," 190 Allen Street, Lower East Side, New York City, NY 10002  "
"Eski Konak Hotel","$66 - $112*","Cankurtaran Mahallesi AkbIyIk Caddesi No: 44 | Sultanahmet, Istanbul 34122, Turkey "
"Baroness Hotel","0"," 1005 Spring Street, Seattle, WA 98104  "
"Dunes Manor Hotel","$45 and up*","2800 Baltimore Ave., Ocean City, MD 21842 "
"Holiday Inn Ocean City","$76 and up*","6600 Coastal Hwy, Ocean City, MD 21842 "
"The Commander Hotel","$135 and up*","14th St. and Boardwalk, Ocean City, MD 21842 "
"Marriott Los Angeles Downtown","$194 - $343*","333 S Figueroa St, Los Angeles, CA 90071 "
"Highland Gardens Hotel","$134 - $149*"," 7047 Franklin Ave., Hollywood, Los Angeles, CA 90028  "
"Beekman Tower Hotel","$236 - $462*"," 3 Mitchell Place, At 1st Avenue and East 49th Street, New York City, NY 10017  "
"Marrakech Hotel on Broadway","$156 - $308*"," 2688 Broadway, New York City, NY 10025  "
"Notting Hill Gate Hotel","$124 - $379*"," 7 Clanricarde Gardens, London W2 4JJ, England  "
"Mandarin Oriental, Boston","$445 - $695*"," 776 Boylston St, Boston, MA 02199  "
"Candlewood Suites Memphis","$81 - $99*"," 7950 Centennial Drive, Memphis, TN 38125  "
"Crowne Plaza Hotel Montreal Airport","$117 - $174*","6600 Cote de Liesse, Montreal, Quebec H4T 1E3, Canada "
"Holiday Inn Express Hotel & Suites Boston Garden","$239 - $361*"," 280 Friend Street, Boston, MA 02114 (Formerly The Hotel at Boston Garden) "
"Westin San Diego","$146 - $308*"," 400 West Broadway, San Diego, CA 92109  "
"Hotel Indigo Miami Dadeland","$122 - $210*"," 7600 North Kendall Drive, Miami, FL 33156  "
"Hotel Griffon","$204 - $409*"," 155 Steuart Street, San Francisco, CA 94105  "
"Petite Auberge a Joie de Vivre Hotel","$176 - $306*"," 863 Bush Street, San Francisco, CA 94108  "
"Holiday Inn Dubai-Al Barsha","$103 - $287*"," Sheikh Zayed Road | PO Box 115443, Dubai 115443, United Arab Emirates  "
"Holiday Inn Express New York City Times Square","$241 - $385*"," 343 West 39th Street, New York City, NY 10018  "
"Mount View Hotel & Spa","$235 - $471*","1457 Lincoln Ave., Calistoga, CA 94515 "
"Holiday Inn Chicago - Midway Airport","$148 - $209*"," 6624 S Cicero Avenue, Chicago, IL 60638  "
"Aston Maui Lu Resort","$110 - $158*"," 575 South Kihei Road, Kihei, Maui, HI 96753  "
"Sheraton Maui Resort & Spa","$280 - $430*"," 2605 Kaanapali Pkwy, Lahaina, Maui, HI 96761  "
"Lahaina Inn","$111 - $197*"," 127 Lahainaluna Rd., Lahaina, Maui, HI 96761  "
"The Westin Verasa, Napa","$255 - $478*","1314 McKinstry Street, Napa, CA 94559 "
"Media Rotana, Barsha - Dubai","$124 - $421*"," South Al Barsha off Sheikh Zayed Road | PO Box 503030, Dubai, United Arab Emirates  "
"Azul Fives by Karisma","$284 - $428*"," Predio El Limonar Fraccion 2 | Xcalacoco, Municipio de Solidaridad, Playa del Carmen, Mexico  "
"The Lenox Hotel","$310 - $509*"," 61 Exeter Street at Boylston, Boston, MA 02116-2699  "
"The Langham, Boston","$273 - $514*"," 250 Franklin St, Boston, MA 02110  "
"Millennium Bostonian Hotel","$114 - $445*"," 26 North Street, Faneuil Hall Marketplace, Boston, MA 02109-1509  "
"Grimaldi Appartamenti","$158 - $409*","Cannaregio 4385, 30100 Venice, Italy "
"Grand Tahir Hotel","$105 - $131*","Ordu Cad Yesil Tulumba Sok No.17 | Laleli, Istanbul 7200, Turkey "
"Hotel Consell de Cent","0","Calle Consejo de Ciento 283, 8011 Barcelona, Spain "
"BHR Boutique Hotel Locanda Ca'Valeri","0","Castello 3845, 30122 Venice, Italy "
"H10 Roma Citta","$104 - $197*","Via Pietro Blaserna 101, 00146 Rome, Italy "
"Novotel Deira City Centre","$87 - $183*"," 8th street | Front of Deira City CentreMall, Dubai, United Arab Emirates  "
"Park Guest House","$48 and up*","A1 15/Floor Block A, Chung King Mansion, 36-44 Nathan Road, Tsimshatsui, Kowloon, Hong Kong, China "
"Fairmont Chicago Millennium Park","$235 - $411*"," 200 N. Columbus Dr., Chicago, IL 60601  "
"Wyndham Blake Chicago","$146 - $325*"," 500 S Dearborn Street, Chicago, IL 60605  "
"Swissotel Chicago","$203 - $361*"," 323 East Wacker Drive, Chicago, IL 60601  "
"BEST WESTERN Grant Park Hotel","$119 - $371*"," 1100 South Michigan Avenue, Chicago, IL 60605  "
"Four Seasons Hotel Chicago","$349 - $722*"," 120 E. Delaware Pl., Chicago, IL 60611  "
"Affinia Chicago","$152 - $344*"," 166 East Superior Street, Chicago, IL 60611 (Formerly Fitzpatrick Chicago Hotel) "
"The Whitehall Hotel","$136 - $391*"," 105 East Delaware Place, Chicago, IL 60611  "
"Espahotel Plaza de Espana","$64 and up*","Plaza De Espana, 7, 28008 Madrid, Spain "
"BEST WESTERN PLUS River North Chicago Downtown Hotel","$139 - $267*"," 125 West Ohio Street, Chicago, IL 60654  "
"Hotel Cass, a Holiday Inn Express","$133 - $321*"," 640 N Wabash Ave, Chicago, IL 60611  "
"Pan Pacific Serviced Suites Orchard Singapore","$291 - $415*","96 Somerset Road, Singapore 238163, Singapore "
"Pension Picasso","$38 - $108*","Rambla 25, 08001 Barcelona, Spain "
"Robert Ramon Hotel","$134 - $252*","P.C. Hofstraat 24-28, Amsterdam 1071 BX, The Netherlands "
"Canterbury Hotel","$119 - $327*"," 123 South Illinois Street, Indianapolis, IN 46225  "
"The Club at Brickell Bay","$118 - $357*"," 1200 Brickell Bay Dr, suite 104, Miami, FL 33131  "
"Isis Hotel","$48 and up*","Antonio Lopez 168, 28026 Madrid, Spain "
"Park Hyatt Istanbul - Macka Palas","$362 - $787*","Tesvikiye Bronz Sokak No. 4 | Macka Palas, Istanbul 34367, Turkey "
"Sheraton Phoenix Downtown Hotel","$135 - $282*","340 North 3rd Street, Phoenix, AZ 85004 "
"Hilton Baltimore","$176 - $368*","401 West Pratt St, Baltimore, MD 21201 "
"Palomar San Diego, A Kimpton Hotel","$202 - $404*"," 1047 5th Avenue, San Diego, CA 92101  "
"Extended Stay America San Diego - Carlsbad Village By The Sea","$86 - $120*"," 1050 Grand Avenue, San Diego, CA 92008   "
"Renaissance Harbour View Hotel Hong Kong","$289 and up*","No.1 Harbour Road, Hong Kong, China "
"Harrah's Las Vegas","$51 - $188*"," 3475 Las Vegas Blvd S, Las Vegas, NV 89109  "
"Stratosphere Hotel, Casino and Tower","$35 - $130*"," 2000 Las Vegas Boulevard South, Las Vegas, NV 89104  "
"Gold Spike Hotel and Casino","$26 - $110*"," 217 Las Vegas Boulevard North, Las Vegas, NV 89109  "
"Motel 6 Las Vegas - Tropicana","$45 - $74*"," 195 East Tropicana Avenue, Las Vegas, NV 89109  "
"Beau Site","$132 - $311*","Via Ludovisi, 45, 00187  Rome, Italy "
"Hotel Celuisma Florida Norte","$22 and up*","Paseo de la Florida, 5, 28008  Madrid, Spain "
"Element by Westin Las Vegas Summerlin","$100 - $179*"," 10555 Discovery Dr., Las Vegas, NV 89135  "
"EPIC Hotel - a Kimpton Hotel","$298 - $699*"," 270 Biscayne Blvd Way, Miami, FL 33131  "
"Doubletree By Hilton - Times Square South","$217 - $487*"," 341 West 36th Street, New York City, NY 10018 (Formerly Hotel 36) "
"Adolphus Hotel","$111 - $314*","1321 Commerce St., Dallas, TX 75202 "
"The Stoneleigh Hotel & Spa","$193 - $277*","2927 Maple Ave., at Wolf St., Dallas, TX 75201 "
"Mama Shelter","$185 - $244*"," 109 Rue de Bagnolet, 75020 Paris, France  "
"Hotel Felix","$148 - $355*"," 111 W. Huron St., Chicago, IL 60654  "
"Las Ramblas Apartments III","$193 - $281*","Jonqueres 13, 08002 Barcelona, Spain "
"Comfort Inn & Suites","$126 - $185*","Del Valle Ave. 1829 | Levittown, San Juan 00949, Puerto Rico "
"Eureka Hotel","$63 - $101*"," Al Riqqa Road Back Side of Adcb | PO Box 64103, Dubai 64103, United Arab Emirates  "
"Triada Residence & Boutique Hotel","$151 - $210*","Istiklal Caddesi Meselik Sokak 4, Istanbul 34433, Turkey "
"Four Seasons Hotel Seattle","$327 - $640*"," 99 Union Street, Seattle, WA  "
"Embassy Suites New Orleans-Convention Center","$121 and up*","315 Julia Street, New Orleans, LA 70130 "
"Parc St. Charles","$123 and up*","500 St. Charles Avenue, New Orleans, LA 70130 (Formerly \"Best Western\")"
